id,name,region_id,federal_district_id
1,Абаза,64,5
2,Абакан,64,5
3,Абдулино,55,7
4,Абинск,24,8
5,Агидель,86,7
6,Агрыз,22,7
7,Адыгейск,7,8
8,Азнакаево,22,7
9,Азов,33,8
10,Ак-Довурак,36,5
11,Аксай,33,8
12,Алагир,2,3
13,Алапаевск,29,1
14,Алатырь,43,7
15,Алдан,21,4
16,Алейск,62,5
17,Александров,46,6
18,Александровск,49,7
19,Александровск-Сахалинский,76,4
20,Алексеевка,35,6
21,Алексин,40,6
22,Алзамай,75,5
23,Алупка,44,8
24,Алушта,44,8
25,Альметьевск,22,7
26,Амурск,15,4
27,Анадырь,48,4
28,Анапа,24,8
29,Ангарск,75,5
30,Андреаполь,83,6
31,Анжеро-Судженск,12,5
32,Анива,76,4
33,Апатиты,10,2
34,Апрелевка,73,6
35,Апшеронск,24,8
36,Арамиль,29,1
37,Аргун,39,3
38,Ардатов,6,7
39,Ардон,2,3
40,Арзамас,71,7
41,Аркадак,17,7
42,Армавир,24,8
43,Армянск,44,8
44,Арсеньев,70,4
45,Арск,22,7
46,Артём,70,4
47,Артёмовск,20,5
48,Артёмовский,29,1
49,Архангельск,25,2
50,Асбест,29,1
51,Асино,66,5
52,Астрахань,13,8
53,Аткарск,17,7
54,Ахтубинск,13,8
55,Ачинск,20,5
56,Ачхой-Мартан,39,3
57,Аша,53,1
58,Бабаево,31,2
59,Бабушкин,68,5
60,Бавлы,22,7
61,Багратионовск,14,2
62,Байкальск,75,5
63,Баймак,86,7
64,Бакал,53,1
65,Баксан,38,3
66,Балабаново,26,6
67,Балаково,17,7
68,Балахна,71,7
69,Балашиха,73,6
70,Балашов,17,7
71,Балей,1,5
72,Балтийск,14,2
73,Барабинск,5,5
74,Барнаул,62,5
75,Барыш,57,7
76,Батайск,33,8
77,Бахчисарай,44,8
78,Бежецк,83,6
79,Белая Калитва,33,8
80,Белая Холуница,41,7
81,Белгород,35,6
82,Белебей,86,7
83,Белёв,40,6
84,Белинский,59,7
85,Белово,12,5
86,Белогорск,67,4
87,Белогорск,44,8
88,Белозерск,31,2
89,Белокуриха,62,5
90,Беломорск,80,2
91,Белоозёрский,73,6
92,Белорецк,86,7
93,Белореченск,24,8
94,Белоусово,26,6
95,Белоярский,61,1
96,Белый,83,6
97,Бердск,5,5
98,Березники,49,7
99,Берёзовский,12,5
100,Берёзовский,29,1
101,Беслан,2,3
102,Бийск,62,5
103,Бикин,15,4
104,Билибино,48,4
105,Биробиджан,34,4
106,Бирск,86,7
107,Бирюсинск,75,5
108,Бирюч,35,6
109,Благовещенск,86,7
110,Благовещенск,67,4
111,Благодарный,72,3
112,Бобров,65,6
113,Богданович,29,1
114,Богородицк,40,6
115,Богородск,71,7
116,Боготол,20,5
117,Богучар,65,6
118,Бодайбо,75,5
119,Бокситогорск,19,2
120,Болгар,22,7
121,Бологое,83,6
122,Болотное,5,5
123,Болохово,40,6
124,Болхов,18,6
125,Большой Камень,70,4
126,Бор,71,7
127,Борзя,1,5
128,Борисоглебск,65,6
129,Боровичи,77,2
130,Боровск,26,6
131,Бородино,20,5
132,Братск,75,5
133,Бронницы,73,6
134,Брянск,84,6
